Level	Date and Time	Source	Event ID	Task Category
Information	16/12/2015 09:31:02	Microsoft-Windows-Hyper-V-Netvsc	11	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' restarted
Information	16/12/2015 09:31:02	Microsoft-Windows-Hyper-V-Netvsc	3	(1002)	The miniport 'Microsoft Hyper-V Network Adapter' was successfully initialized
Information	16/12/2015 09:31:02	Microsoft-Windows-Hyper-V-Netvsc	12	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' connected
Information	16/12/2015 09:31:02	Microsoft-Windows-Hyper-V-Netvsc	13	(1003)	Miniport NIC 'Microsoft Hyper-V Network Adapter' disconnected
Information	16/12/2015 09:31:02	Microsoft-Windows-Hyper-V-Netvsc	1	(1001)	The VM and host networking components successfully negotiated protocol version '6.1'
Information	16/12/2015 09:31:02	Microsoft-Windows-Kernel-Processor-Power	55	(47)	"Processor 0 in group 0 exposes the following power management capabilities:

Idle state type: ACPI Idle (C) States (1 state(s))

Performance state type: None
Nominal Frequency (MHz): 2295
Maximum performance percentage: 100
Minimum performance percentage: 100
Minimum throttle percentage: 100"
Information	16/12/2015 09:31:02	Microsoft-Windows-Ntfs	98	None	Volume \\?\Volume{6b1cc1df-0000-0000-0000-100000000000} (\Device\HarddiskVolume1) is healthy.  No action is needed.
Information	16/12/2015 09:31:02	Microsoft-Windows-FilterManager	6	None	File System Filter 'npsvctrig' (10.0, ‎2015‎-‎10‎-‎30T02:40:23.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:31:02	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileCrypt' (10.0, ‎2015‎-‎10‎-‎30T02:37:49.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:31:02	Microsoft-Windows-Ntfs	98	None	Volume C: (\Device\HarddiskVolume2) is healthy.  No action is needed.
Information	16/12/2015 09:31:02	Microsoft-Windows-FilterManager	6	None	File System Filter 'WdFilter' (10.0, ‎2015‎-‎10‎-‎30T02:34:35.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:31:02	Microsoft-Windows-FilterManager	6	None	File System Filter 'Wof' (10.0, ‎2015‎-‎10‎-‎30T02:38:16.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:31:02	Microsoft-Windows-FilterManager	6	None	File System Filter 'FileInfo' (10.0, ‎2015‎-‎10‎-‎30T02:37:17.000000000Z) has successfully loaded and registered with Filter Manager.
Information	16/12/2015 09:31:01	Microsoft-Windows-Kernel-Boot	32	None	The bootmgr spent 0 ms waiting for user input.
Information	16/12/2015 09:31:01	Microsoft-Windows-Kernel-Boot	18	None	There are 0x1 boot options on this system.
Information	16/12/2015 09:31:01	Microsoft-Windows-Kernel-Boot	25	None	The boot menu policy was 0x1.
Information	16/12/2015 09:31:01	Microsoft-Windows-Kernel-Boot	27	None	The boot type was 0x0.
Information	16/12/2015 09:31:01	Microsoft-Windows-Kernel-Boot	20	None	The last shutdown's success status was true. The last boot's success status was true.
Information	16/12/2015 09:31:01	Microsoft-Windows-Kernel-General	12	None	The operating system started at system time ‎2015‎-‎12‎-‎16T09:31:01.490302800Z.
Information	16/12/2015 09:30:53	Microsoft-Windows-Kernel-General	13	None	The operating system is shutting down at system time ‎2015‎-‎12‎-‎16T09:30:53.113083200Z.
Information	16/12/2015 09:30:51	Microsoft-Windows-Kernel-Power	109	(103)	"The kernel power manager has initiated a shutdown transition.

Shutdown Reason: Kernel API"
Information	16/12/2015 09:31:05	EventLog	6013	None	The system uptime is 3 seconds.
Information	16/12/2015 09:31:05	EventLog	6005	None	The Event log service was started.
Information	16/12/2015 09:31:05	EventLog	6009	None	Microsoft (R) Windows (R) 10.00. 10586  Multiprocessor Free.
Information	16/12/2015 09:30:50	Microsoft-Windows-Dhcp-Client	50037	Service State Event	DHCPv4 client service is stopped. ShutDown Flag value is 1
Information	16/12/2015 09:30:50	Microsoft-Windows-DHCPv6-Client	51047	Service State Event	DHCPv6 client service is stopped. ShutDown Flag value is 1
Information	16/12/2015 09:30:50	Microsoft-Windows-Winlogon	7002	(1102)	User Logoff Notification for Customer Experience Improvement Program
Error	16/12/2015 09:30:49	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	16/12/2015 09:30:50	EventLog	6006	None	The Event log service was stopped.
Information	16/12/2015 09:30:47	Service Control Manager	7040	None	The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.
Information	16/12/2015 09:30:46	Application Popup	26	None	Application popup: cmd.exe - Application Error : The application was unable to start correctly (0xc0000142). Click OK to close the application. 
Error	16/12/2015 09:30:46	Service Control Manager	7031	None	The User Data Access_37625 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 09:30:46	Service Control Manager	7031	None	The User Data Storage_37625 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 09:30:46	Service Control Manager	7031	None	The Contact Data_37625 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 09:30:46	Service Control Manager	7031	None	The Sync Host_37625 service terminated unexpectedly.  It has done this 1 time(s).  The following corrective action will be taken in 10000 milliseconds: Restart the service.
Error	16/12/2015 09:30:46	Microsoft-Windows-DistributedCOM	10016	None	"The application-specific permission settings do not grant Local Activation permission for the COM Server application with CLSID 
{D63B10C5-BB46-4990-A94F-E40B9D520160}
 and APPID 
{9CA88EE3-ACB7-47C8-AFC4-AB702511C276}
 to the user NT AUTHORITY\SYSTEM SID (S-1-5-18) from address LocalHost (Using LRPC) running in the application container Unavailable SID (Unavailable). This security permission can be modified using the Component Services administrative tool."
Information	16/12/2015 09:30:46	User32	1074	None	"The process C:\Windows\system32\svchost.exe (DESKTOP-A5MB3PB) has initiated the shutdown of computer DESKTOP-A5MB3PB on behalf of user DESKTOP-A5MB3PB\Graeme for the following reason: Other (Planned)
 Reason Code: 0x80000000
 Shutdown Type: shutdown
 Comment: S"
Information	16/12/2015 09:28:56	Microsoft-Windows-Kernel-General	1	None	"The system time has changed to ‎2015‎-‎12‎-‎16T09:28:56.325000000Z from ‎2015‎-‎12‎-‎16T09:28:56.289749500Z.

Change Reason: An application or system component changed the time."
Information	16/12/2015 09:28:32	Microsoft-Windows-Kernel-General	1	None	"The system time has changed to ‎2015‎-‎12‎-‎16T09:28:32.545000000Z from ‎2015‎-‎12‎-‎16T09:28:32.543578100Z.

Change Reason: An application or system component changed the time."
Information	16/12/2015 09:02:12	Lfsvc	1	None	Geolocation positioning is enabled.
Information	16/12/2015 09:01:30	Microsoft-Windows-WindowsUpdateClient	19	Windows Update Agent	Installation Successful: Windows successfully installed the following update: Cumulative Update for Windows 10 Version 1511 for x64-based Systems (KB3116900)
Information	16/12/2015 09:01:13	Microsoft-Windows-Winlogon	7001	(1101)	User Logon Notification for Customer Experience Improvement Program
Information	16/12/2015 09:00:26	Service Control Manager	7040	None	The start type of the Windows Modules Installer service was changed from auto start to demand start.
